"Timestamp","Respondents' Consent","What is your name? (optional)","Which college department are you part of?","What is your current college year?","Are you already aware of what SOGIE Equality Bill is?","How much knowledge would you describe yourself having regarding LGBTQIA+?","What is your assigned sex at birth?","What is your Gender Identity?","How would you describe your Gender Expression?","How would you describe your Sexual Orientation","Will SOGIE Bill prevent the discrimination based on sexual orientation and gender identity?","Will SOGIE Bill give equal access to LGBTQIA+ individual's employment?","Will SOGIE Bill help promote programs for non-discrimination and diversity in schools and workplace?","Will SOGIE Bill penalize employers who discriminate against LGBTQIA+ members?","Will SOGIE Bill provide programs to protect students in school?","Will SOGIE Bill help LGBTQIA+ members to know their rights?","Will SOGIE Bill help the LGBTQIA+ members to gain more self-confidence?","Will SOGIE Bill help the implementation of LGBTQIA+ members own public comfort room?","Will SOGIE Bill help LGBTQIA+ members to be more open about their gender identity?","Will SOGIE Bill lessen the bullying cases between LGBTQIA+ student and an ordinary student?","Do you think the SOGIE Bill is for the legalization of Same-Sex Marriage?","Do you think that SOGIE Bill is only for the LGBTQIA+ community?"
"2024/02/19 11:31:49 AM GMT+8","I agree to participate to this survey","CTHM10004","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","4","3","5","2","2","2","3","3","5","2","5"
"2024/02/19 11:32:40 AM GMT+8","I agree to participate to this survey","CSCS20006","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","2","2","3","2","2","2","2","2","4","3","3"
"2024/02/19 11:33:23 AM GMT+8","I agree to participate to this survey","CSCS10009","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","3","4","4","5","5","5","4","5","4","3","4"
"2024/02/19 11:33:37 AM GMT+8","I agree to participate to this survey","CTHM10005","CTHM","1st Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","5","4","5","5","5","5","4","5","4","3"
"2024/02/19 11:34:09 AM GMT+8","I agree to participate to this survey","CSCS","CSCS","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Prefer not to disclose","Feminine","I am attracted to anyone REGARDLESS of their gender","5","5","5","4","5","5","5","5","5","4","4","2"
"2024/02/19 11:34:37 AM GMT+8","I agree to participate to this survey","CTHM10006","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","2","1","1","5","5","1","1","1","1","5"
"2024/02/19 11:34:52 AM GMT+8","I agree to participate to this survey","CSCS10010","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","4","5","5","5","5","5","5","4","4","4","1"
"2024/02/19 11:34:57 AM GMT+8","I agree to participate to this survey","CSCS20007","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","4","3","4","5","5","4","5","4","3","2"
"2024/02/19 11:35:50 AM GMT+8","I agree to participate to this survey","CSCS20024","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","3","3","3","3","3","3","3","3","3","3"
"2024/02/19 11:36:13 AM GMT+8","I agree to participate to this survey","CTHM10007","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","5","3","4","4","4","4","5","4","3","3"
"2024/02/19 11:36:18 AM GMT+8","I agree to participate to this survey","CSCS20008","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","4","4","4","5","5","3","4","4","3","3"
"2024/02/19 11:36:31 AM GMT+8","I agree to participate to this survey","CSCS10011","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","5","3","5","5","5","4","5","5","4","5"
"2024/02/19 11:37:27 AM GMT+8","I agree to participate to this survey","CTHM10008","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","5","4","4","3","5","5","3","5","3","4","3"
"2024/02/19 11:37:39 AM GMT+8","I agree to participate to this survey","CSCS20009","CSCS","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","Prefer not to disclose","5","5","5","5","5","5","5","5","5","5","5","1"
"2024/02/19 11:37:50 AM GMT+8","I agree to participate to this survey","CSCS20025","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","5","5","5","5","5","5","4","5","5","3","1"
"2024/02/19 11:38:13 AM GMT+8","I agree to participate to this survey","CSCS10012","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","5","4","5","5","5","5","5","5","3","2"
"2024/02/19 11:38:30 AM GMT+8","I agree to participate to this survey","CTHM10009","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","3","3","3","3","3","3","3","3","3","3","3"
"2024/02/19 11:39:03 AM GMT+8","I agree to participate to this survey","CSCS20010","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","4","2"
"2024/02/19 11:39:45 AM GMT+8","I agree to participate to this survey","CSCS20026","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","4","4","2","3","4","5","4","4","3","3","3"
"2024/02/19 11:41:09 AM GMT+8","I agree to participate to this survey","CTHM10010","CTHM","1st Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Gender Neutral (neither)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","5","5","5","5","5","5","5","5","5","5"
"2024/02/19 11:41:43 AM GMT+8","I agree to participate to this survey","CSCS20011","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","Prefer not to disclose","4","5","3","3","4","5","3","4","5","4","5","4"
"2024/02/19 11:42:03 AM GMT+8","I agree to participate to this survey","CSCS10013","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","3","4","3","5","3","3","4","3","3","4","2","1"
"2024/02/19 11:42:08 AM GMT+8","I agree to participate to this survey","CTHM10011","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","5","5","5","5","5","5","5","5","5","5","5","5"
"2024/02/19 11:42:16 AM GMT+8","I agree to participate to this survey","CSCS20027","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Gender Queer (both)","Feminine","I am attracted to anyone REGARDLESS of their gender","5","5","5","5","5","5","5","3","5","5","3","1"
"2024/02/19 11:43:31 AM GMT+8","I agree to participate to this survey","CSCS20012","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","3","4","4","5","4","4","2","5","1","1","2","4"
"2024/02/19 11:44:27 AM GMT+8","I agree to participate to this survey","CSCS10014","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","2","1","4","5","4","4","4","4","4","4","4"
"2024/02/19 11:44:29 AM GMT+8","I agree to participate to this survey","CTHM10012","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am attracted to anyone REGARDLESS of their gender","5","5","5","5","5","5","5","5","5","5","5","1"
"2024/02/19 11:44:56 AM GMT+8","I agree to participate to this survey","CSCS20028","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","3","3","3","3","3","2","4","3","3","3"
"2024/02/19 11:45:10 AM GMT+8","I agree to participate to this survey","CSCS20013","CSCS","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Prefer not to disclose","Androgynous/Unisexual","I am NOT sexually attracted to anyone","4","4","4","3","4","5","5","4","5","3","5","1"
"2024/02/19 11:45:34 AM GMT+8","I agree to participate to this survey","CTHM10013","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","3","2","2","2","1","1","1","2","1","3","2","3"
"2024/02/19 11:46:54 AM GMT+8","I agree to participate to this survey","CSCS20029","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","5","5","4","3","5","4","4","5","4","1","1"
"2024/02/19 11:47:03 AM GMT+8","I agree to participate to this survey","CTHM20001","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Prefer not to disclose","Prefer not to disclose","Feminine","I am attracted to anyone REGARDLESS of their gender","4","4","4","3","4","4","4","2","4","4","4","3"
"2024/02/19 11:49:20 AM GMT+8","I agree to participate to this survey","CSCS20030","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","2","1","2","3","2","2","2","2","2","2","2","1"
"2024/02/19 11:49:34 AM GMT+8","I agree to participate to this survey","CTHM20002","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","4","4","5","5","5","5","5","4","5","5"
"2024/02/19 11:51:13 AM GMT+8","I agree to participate to this survey","CTHM20003","CTHM","2nd Year","No","I know nothing at all","Female","Woman","Androgynous/Unisexual","I am ONLY attracted to men","5","4","5","2","5","5","5","3","5","4","4","3"
"2024/02/19 11:51:24 AM GMT+8","I agree to participate to this survey","CSCS20014","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am NOT sexually attracted to anyone","4","4","4","4","5","5","4","4","4","4","3","4"
"2024/02/19 11:52:08 AM GMT+8","I agree to participate to this survey","CSCS10015","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","2","1","4","5","4","4","4","4","4","3","3"
"2024/02/19 11:52:27 AM GMT+8","I agree to participate to this survey","CSCS20031","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","3","4","2","3","4","4","4","3","4","3","2"
"2024/02/19 11:53:02 AM GMT+8","I agree to participate to this survey","CTHM20004","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","4","5","5","5","4","5","4","4","3"
"2024/02/19 11:53:40 AM GMT+8","I agree to participate to this survey","CSCS20015","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Prefer not to disclose","I am ONLY attracted to men","4","3","2","3","2","3","4","4","4","2","3","3"
"2024/02/19 11:55:20 AM GMT+8","I agree to participate to this survey","CTHM20005","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","4","4","4","4","4","5","5","3","5","4","4","4"
"2024/02/19 11:55:32 AM GMT+8","I agree to participate to this survey","CSCS10016","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Prefer not to disclose","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","5","5","5","5","5","5","4","4","5","4","3","1"
"2024/02/19 11:56:03 AM GMT+8","I agree to participate to this survey","CSCS20016","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Prefer not to disclose","Feminine","I am attracted to anyone REGARDLESS of their gender","5","4","5","3","4","5","5","3","4","4","3","2"
"2024/02/19 11:57:36 AM GMT+8","I agree to participate to this survey","CTHM20006","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Masculine","I am ONLY attracted to men","5","5","5","4","5","5","4","4","5","5","5","4"
"2024/02/19 11:58:28 AM GMT+8","I agree to participate to this survey","CSCS10017","CSCS","1st Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","4","4","3","3","5","4","4","5","2","3","2"
"2024/02/19 11:58:33 AM GMT+8","I agree to participate to this survey","CSCS20017","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Female","Prefer not to disclose","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","3","3","3","4","4","4","4","4","3","4","3"
"2024/02/19 11:58:38 AM GMT+8","I agree to participate to this survey","CSCS20032","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","3","3","4","3","4","4","4","3","4","3","3","1"
"2024/02/19 11:59:22 AM GMT+8","I agree to participate to this survey","CTHM20007","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","5","4","5","5","5","4","4","5","4","3"
"2024/02/19 11:59:42 AM GMT+8","I agree to participate to this survey","CSCS30012","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","3","3","4","3","4","4","5","2","4","3","4","2"
"2024/02/19 12:00:19 PM GMT+8","I agree to participate to this survey","CSCS10018","CSCS","1st Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Gender Neutral (neither)","Androgynous/Unisexual","I am NOT sexually attracted to anyone","4","4","4","4","4","5","5","4","5","5","3","1"
"2024/02/19 12:00:22 PM GMT+8","I agree to participate to this survey","CTHM20008","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","4","4","5","5","5","5","4","4","5"
"2024/02/19 12:01:00 PM GMT+8","I agree to participate to this survey","CSCS20033","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","3","4","5","5","5","5","5","4","3","3","1"
"2024/02/19 12:01:04 PM GMT+8","I agree to participate to this survey","CSCS30013","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","3","3","3","3","3","3","3","3","3","3"
"2024/02/19 12:01:21 PM GMT+8","I agree to participate to this survey","CTHM20009","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","5","4","4","4","5","5","4","4","3","3","3"
"2024/02/19 12:02:03 PM GMT+8","I agree to participate to this survey","CSCS10019","CSCS","1st Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","4","5","5","5","5","4","4","5","5","4"
"2024/02/19 12:03:16 PM GMT+8","I agree to participate to this survey","CSCS20034","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","3","4","3","4","4","2","3","3","4","2","1"
"2024/02/19 12:03:55 PM GMT+8","I agree to participate to this survey","CSCS20018","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","4","1","4","4","3","3","4","2","3","4"
"2024/02/19 12:04:03 PM GMT+8","I agree to participate to this survey","CSCS30014","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","3","4","4","4","4","4","3","3","4","3"
"2024/02/19 12:04:12 PM GMT+8","I agree to participate to this survey","CSCS10020","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am ONLY attracted to men","3","4","4","3","5","5","5","4","4","3","3","1"
"2024/02/19 12:04:26 PM GMT+8","I agree to participate to this survey","CTHM20010","CTHM","2nd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","3","3","4","4","4","3","4","3","3","3"
"2024/02/19 12:04:59 PM GMT+8","I agree to participate to this survey","CSCS20019","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","3","3","3","3","3","3","3","3","3","3"
"2024/02/19 12:05:37 PM GMT+8","I agree to participate to this survey","CSCS30015","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","3","3","4","4","4","4","3","3","4","4","3"
"2024/02/19 12:06:06 PM GMT+8","I agree to participate to this survey","CSCS20020","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","4","5","5","5","4","5","5","3","4"
"2024/02/19 12:06:29 PM GMT+8","I agree to participate to this survey","CSCS10021","CSCS","1st Year","Yes","I know nothing at all","Male","Man","Masculine","I am ONLY attracted to women","3","2","4","4","3","4","5","4","5","4","4","4"
"2024/02/19 12:06:47 PM GMT+8","I agree to participate to this survey","CTHM20011","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","5","5","4","5","5","5","4","4","4","3"
"2024/02/19 12:07:41 PM GMT+8","I agree to participate to this survey","CSCS30016","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","4","4","4","4","4","4","4","4","4","4"
"2024/02/19 12:07:53 PM GMT+8","I agree to participate to this survey","CSCS20035","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","Prefer not to disclose","4","5","5","5","5","5","4","3","4","4","3","2"
"2024/02/19 12:07:58 PM GMT+8","I agree to participate to this survey","CTHM20012","CTHM","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am ONLY attracted to men","4","5","5","4","3","4","5","5","5","4","4","3"
"2024/02/19 12:08:22 PM GMT+8","I agree to participate to this survey","CTH20039","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Prefer not to disclose","Prefer not to disclose","Prefer not to disclose","I am attracted to anyone REGARDLESS of their gender","3","3","3","3","3","3","3","3","3","3","3","3"
"2024/02/19 12:08:55 PM GMT+8","I agree to participate to this survey","CTHM20013","CTHM","2nd Year","No","I know nothing at all","Female","Woman","Feminine","I am ONLY attracted to men","4","3","3","3","4","5","5","4","5","4","3","3"
"2024/02/19 12:09:16 PM GMT+8","I agree to participate to this survey","CSCS20036","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","4","4","4","4","4","4","4","2","3"
"2024/02/19 12:09:25 PM GMT+8","I agree to participate to this survey","CSCS10022","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","4","3","4","5","5","2","5","3","4","1"
"2024/02/19 12:10:09 PM GMT+8","I agree to participate to this survey","CSCS30017","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","4","3","4","5","5","4","5","5","3","4"
"2024/02/19 12:10:23 PM GMT+8","I agree to participate to this survey","CSCS20040","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","3","2","3","2","3","3","3","4","3","1","3"
