RESPONDENT_ID,QUESTION_ID,ANSWER
CSCS20003,11,1
CSCS10005,0,2
CSCS10005,1,2
CSCS10005,2,2
CSCS10005,3,2
CSCS10005,4,2
CSCS10005,5,3
CSCS10005,6,2
CSCS10005,7,3
CSCS10005,8,3
CSCS10005,9,2
CSCS10005,10,3
CSCS10005,11,3
CSCS30009,0,3
CSCS30009,1,3
CSCS30009,2,4
CSCS30009,3,3
CSCS30009,4,4
CSCS30009,5,4
CSCS30009,6,5
CSCS30009,7,4
CSCS30009,8,4
CSCS30009,9,3
CSCS30009,10,4
CSCS30009,11,4
CSCS20004,0,3
CSCS20004,1,4
CSCS20004,2,5
CSCS20004,3,3
CSCS20004,4,4
CSCS20004,5,5
CSCS20004,6,3
CSCS20004,7,3
CSCS20004,8,3
CSCS20004,9,4
CSCS20004,10,4
CSCS20004,11,2
CSCS10006,0,4
CSCS10006,1,3
CSCS10006,2,4
CSCS10006,3,5
CSCS10006,4,4
CSCS10006,5,4
CSCS10006,6,3
CSCS10006,7,3
CSCS10006,8,4
CSCS10006,9,5
CSCS10006,10,4
CSCS10006,11,4
CSCS30010,0,4
CSCS30010,1,4
CSCS30010,2,4
CSCS30010,3,5
CSCS30010,4,5
CSCS30010,5,5
CSCS30010,6,4
CSCS30010,7,1
CSCS30010,8,3
CSCS30010,9,3
CSCS30010,10,1
CSCS30010,11,1
CSCS10007,0,3
CSCS10007,1,4
CSCS10007,2,4
CSCS10007,3,3
CSCS10007,4,4
CSCS10007,5,4
CSCS10007,6,4
CSCS10007,7,4
CSCS10007,8,4
CSCS10007,9,4
CSCS10007,10,3
CSCS10007,11,4
CTHM10001,0,1
CTHM10001,1,4
CTHM10001,2,2
CTHM10001,3,2
CTHM10001,4,3
CTHM10001,5,5
CTHM10001,6,4
CTHM10001,7,2
CTHM10001,8,4
CTHM10001,9,1
CTHM10001,10,5
CTHM10001,11,2
CSCS20021,0,4
CSCS20021,1,5
CSCS20021,2,5
CSCS20021,3,4
CSCS20021,4,4
CSCS20021,5,4
CSCS20021,6,5
CSCS20021,7,1
CSCS20021,8,4
CSCS20021,9,3
CSCS20021,10,1
CSCS20021,11,3
CTHM10002,0,5
CTHM10002,1,4
CTHM10002,2,4
CTHM10002,3,5
CTHM10002,4,4
CTHM10002,5,4
CTHM10002,6,4
CTHM10002,7,4
CTHM10002,8,5
CTHM10002,9,4
CTHM10002,10,5
CTHM10002,11,1
CTHM10003,0,5
CTHM10003,1,5
CTHM10003,2,5
CTHM10003,3,5
CTHM10003,4,5
CTHM10003,5,5
CTHM10003,6,5
CTHM10003,7,5
CTHM10003,8,5
CTHM10003,9,5
CTHM10003,10,5
CTHM10003,11,5
CSCS20005,0,5
CSCS20005,1,5
CSCS20005,2,5
CSCS20005,3,4
CSCS20005,4,5
CSCS20005,5,5
CSCS20005,6,4
CSCS20005,7,4
CSCS20005,8,5
CSCS20005,9,4
CSCS20005,10,4
CSCS20005,11,3
CSCS20022,0,3
CSCS20022,1,4
CSCS20022,2,4
CSCS20022,3,2
CSCS20022,4,4
CSCS20022,5,5
CSCS20022,6,5
CSCS20022,7,3
CSCS20022,8,4
CSCS20022,9,4
CSCS20022,10,4
CSCS20022,11,2
CSCS10008,0,4
CSCS10008,1,4
CSCS10008,2,3
CSCS10008,3,3
CSCS10008,4,4
CSCS10008,5,5
CSCS10008,6,5
CSCS10008,7,3
CSCS10008,8,4
CSCS10008,9,2
CSCS10008,10,4
CSCS10008,11,3
CSCS30011,0,3
CSCS30011,1,3
CSCS30011,2,3
CSCS30011,3,5
CSCS30011,4,5
CSCS30011,5,4
CSCS30011,6,4
CSCS30011,7,3
CSCS30011,8,3
CSCS30011,9,1
CSCS30011,10,2
CSCS30011,11,1
CTHM10004,0,5
CTHM10004,1,4
CTHM10004,2,3
CTHM10004,3,5
CTHM10004,4,2
CTHM10004,5,2
CTHM10004,6,2
CTHM10004,7,3
CTHM10004,8,3
CTHM10004,9,5
CTHM10004,10,2
CTHM10004,11,5
CSCS20006,0,3
CSCS20006,1,2
CSCS20006,2,2
CSCS20006,3,3
CSCS20006,4,2
CSCS20006,5,2
CSCS20006,6,2
CSCS20006,7,2
CSCS20006,8,2
CSCS20006,9,4
CSCS20006,10,3
CSCS20006,11,3
CSCS10009,0,4
CSCS10009,1,3
CSCS10009,2,4
CSCS10009,3,4
CSCS10009,4,5
CSCS10009,5,5
CSCS10009,6,5
CSCS10009,7,4
CSCS10009,8,5
CSCS10009,9,4
CSCS10009,10,3
CSCS10009,11,4
CTHM10005,0,5
CTHM10005,1,5
CTHM10005,2,5
CTHM10005,3,4
CTHM10005,4,5
CTHM10005,5,5
CTHM10005,6,5
CTHM10005,7,5
CTHM10005,8,4
CTHM10005,9,5
CTHM10005,10,4
CTHM10005,11,3
CSCS,0,5
CSCS,1,5
CSCS,2,5
CSCS,3,4
CSCS,4,5
CSCS,5,5
CSCS,6,5
CSCS,7,5
CSCS,8,5
CSCS,9,4
CSCS,10,4
CSCS,11,2
CTHM10006,0,4
CTHM10006,1,5
CTHM10006,2,2
CTHM10006,3,1
CTHM10006,4,1
CTHM10006,5,5
CTHM10006,6,5
CTHM10006,7,1
CTHM10006,8,1
CTHM10006,9,1
CTHM10006,10,1
CTHM10006,11,5
CSCS10010,0,5
CSCS10010,1,4
CSCS10010,2,5
CSCS10010,3,5
CSCS10010,4,5
CSCS10010,5,5
CSCS10010,6,5
CSCS10010,7,5
CSCS10010,8,4
CSCS10010,9,4
CSCS10010,10,4
CSCS10010,11,1
CSCS20007,0,4
CSCS20007,1,5
CSCS20007,2,4
CSCS20007,3,3
CSCS20007,4,4
CSCS20007,5,5
CSCS20007,6,5
CSCS20007,7,4
CSCS20007,8,5
CSCS20007,9,4
CSCS20007,10,3
CSCS20007,11,2
CSCS20024,0,3
CSCS20024,1,3
CSCS20024,2,3
CSCS20024,3,3
CSCS20024,4,3
CSCS20024,5,3
CSCS20024,6,3
CSCS20024,7,3
CSCS20024,8,3
CSCS20024,9,3
CSCS20024,10,3
CSCS20024,11,3
CTHM10007,0,3
CTHM10007,1,3
CTHM10007,2,5
CTHM10007,3,3
CTHM10007,4,4
CTHM10007,5,4
CTHM10007,6,4
CTHM10007,7,4
CTHM10007,8,5
CTHM10007,9,4
CTHM10007,10,3
CTHM10007,11,3
CSCS20008,0,4
CSCS20008,1,5
CSCS20008,2,4
CSCS20008,3,4
CSCS20008,4,4
CSCS20008,5,5
CSCS20008,6,5
CSCS20008,7,3
CSCS20008,8,4
CSCS20008,9,4
CSCS20008,10,3
CSCS20008,11,3
CSCS10011,0,4
CSCS10011,1,5
CSCS10011,2,5
CSCS10011,3,3
CSCS10011,4,5
CSCS10011,5,5
CSCS10011,6,5
CSCS10011,7,4
CSCS10011,8,5
CSCS10011,9,5
CSCS10011,10,4
CSCS10011,11,5
CTHM10008,0,5
CTHM10008,1,5
CTHM10008,2,4
CTHM10008,3,4
CTHM10008,4,3
CTHM10008,5,5
CTHM10008,6,5
CTHM10008,7,3
CTHM10008,8,5
CTHM10008,9,3
CTHM10008,10,4
CTHM10008,11,3
CSCS20009,0,5
CSCS20009,1,5
CSCS20009,2,5
CSCS20009,3,5
CSCS20009,4,5
CSCS20009,5,5
CSCS20009,6,5
CSCS20009,7,5
CSCS20009,8,5
CSCS20009,9,5
CSCS20009,10,5
CSCS20009,11,1
CSCS20025,0,5
CSCS20025,1,5
CSCS20025,2,5
CSCS20025,3,5
CSCS20025,4,5
CSCS20025,5,5
CSCS20025,6,5
CSCS20025,7,4
CSCS20025,8,5
CSCS20025,9,5
CSCS20025,10,3
CSCS20025,11,1
CSCS10012,0,4
CSCS10012,1,5
CSCS10012,2,5
CSCS10012,3,4
CSCS10012,4,5
CSCS10012,5,5
CSCS10012,6,5
CSCS10012,7,5
CSCS10012,8,5
CSCS10012,9,5
CSCS10012,10,3
CSCS10012,11,2
CTHM10009,0,3
CTHM10009,1,3
CTHM10009,2,3
CTHM10009,3,3
CTHM10009,4,3
CTHM10009,5,3
CTHM10009,6,3
CTHM10009,7,3
CTHM10009,8,3
CTHM10009,9,3
CTHM10009,10,3
CTHM10009,11,3
CSCS20010,0,5
CSCS20010,1,5
CSCS20010,2,5
CSCS20010,3,5
CSCS20010,4,5
CSCS20010,5,5
CSCS20010,6,5
CSCS20010,7,5
CSCS20010,8,5
CSCS20010,9,5
CSCS20010,10,4
CSCS20010,11,2
CSCS20026,0,3
CSCS20026,1,4
CSCS20026,2,4
CSCS20026,3,2
CSCS20026,4,3
CSCS20026,5,4
CSCS20026,6,5
CSCS20026,7,4
CSCS20026,8,4
CSCS20026,9,3
CSCS20026,10,3
CSCS20026,11,3
CTHM10010,0,5
CTHM10010,1,5
CTHM10010,2,5
CTHM10010,3,5
CTHM10010,4,5
CTHM10010,5,5
CTHM10010,6,5
CTHM10010,7,5
CTHM10010,8,5
CTHM10010,9,5
CTHM10010,10,5
CTHM10010,11,5
CSCS20011,0,4
CSCS20011,1,5
CSCS20011,2,3
CSCS20011,3,3
CSCS20011,4,4
CSCS20011,5,5
CSCS20011,6,3
CSCS20011,7,4
CSCS20011,8,5
CSCS20011,9,4
CSCS20011,10,5
CSCS20011,11,4
CSCS10013,0,3
CSCS10013,1,4
CSCS10013,2,3
CSCS10013,3,5
CSCS10013,4,3
CSCS10013,5,3
CSCS10013,6,4
CSCS10013,7,3
CSCS10013,8,3
CSCS10013,9,4
CSCS10013,10,2
CSCS10013,11,1
CTHM10011,0,5
CTHM10011,1,5
CTHM10011,2,5
CTHM10011,3,5
CTHM10011,4,5
CTHM10011,5,5
CTHM10011,6,5
CTHM10011,7,5
CTHM10011,8,5
CTHM10011,9,5
CTHM10011,10,5
CTHM10011,11,5
CSCS20027,0,5
CSCS20027,1,5
CSCS20027,2,5
CSCS20027,3,5
CSCS20027,4,5
CSCS20027,5,5
CSCS20027,6,5
CSCS20027,7,3
CSCS20027,8,5
CSCS20027,9,5
CSCS20027,10,3
CSCS20027,11,1
CSCS20012,0,3
CSCS20012,1,4
CSCS20012,2,4
CSCS20012,3,5
CSCS20012,4,4
CSCS20012,5,4
CSCS20012,6,2
CSCS20012,7,5
CSCS20012,8,1
CSCS20012,9,1
CSCS20012,10,2
CSCS20012,11,4
CSCS10014,0,3
CSCS10014,1,2
CSCS10014,2,1
CSCS10014,3,4
CSCS10014,4,5
CSCS10014,5,4
CSCS10014,6,4
CSCS10014,7,4
CSCS10014,8,4
CSCS10014,9,4
CSCS10014,10,4
CSCS10014,11,4
CTHM10012,0,5
CTHM10012,1,5
CTHM10012,2,5
CTHM10012,3,5
CTHM10012,4,5
CTHM10012,5,5
CTHM10012,6,5
CTHM10012,7,5
CTHM10012,8,5
CTHM10012,9,5
CTHM10012,10,5
CTHM10012,11,1
CSCS20028,0,3
CSCS20028,1,3
CSCS20028,2,3
CSCS20028,3,3
CSCS20028,4,3
CSCS20028,5,3
CSCS20028,6,3
CSCS20028,7,2
CSCS20028,8,4
CSCS20028,9,3
CSCS20028,10,3
CSCS20028,11,3
CSCS20013,0,4
CSCS20013,1,4
CSCS20013,2,4
CSCS20013,3,3
CSCS20013,4,4
CSCS20013,5,5
CSCS20013,6,5
CSCS20013,7,4
CSCS20013,8,5
CSCS20013,9,3
CSCS20013,10,5
CSCS20013,11,1
CTHM10013,0,3
CTHM10013,1,2
CTHM10013,2,2
CTHM10013,3,2
CTHM10013,4,1
CTHM10013,5,1
CTHM10013,6,1
CTHM10013,7,2
CTHM10013,8,1
CTHM10013,9,3
CTHM10013,10,2
CTHM10013,11,3
CSCS20029,0,4
CSCS20029,1,5
CSCS20029,2,5
CSCS20029,3,4
CSCS20029,4,3
CSCS20029,5,5
CSCS20029,6,4
CSCS20029,7,4
CSCS20029,8,5
CSCS20029,9,4
CSCS20029,10,1
CSCS20029,11,1
CTHM20001,0,4
CTHM20001,1,4
CTHM20001,2,4
CTHM20001,3,3
CTHM20001,4,4
CTHM20001,5,4
CTHM20001,6,4
CTHM20001,7,2
CTHM20001,8,4
CTHM20001,9,4
CTHM20001,10,4
CTHM20001,11,3
CSCS20030,0,2
CSCS20030,1,1
CSCS20030,2,2
CSCS20030,3,3
CSCS20030,4,2
CSCS20030,5,2
CSCS20030,6,2
CSCS20030,7,2
CSCS20030,8,2
CSCS20030,9,2
CSCS20030,10,2
CSCS20030,11,1
CTHM20002,0,5
CTHM20002,1,5
CTHM20002,2,4
CTHM20002,3,4
CTHM20002,4,5
CTHM20002,5,5
CTHM20002,6,5
CTHM20002,7,5
CTHM20002,8,5
CTHM20002,9,4
CTHM20002,10,5
CTHM20002,11,5
CTHM20003,0,5
CTHM20003,1,4
CTHM20003,2,5
CTHM20003,3,2
CTHM20003,4,5
CTHM20003,5,5
CTHM20003,6,5
CTHM20003,7,3
CTHM20003,8,5
CTHM20003,9,4
CTHM20003,10,4
CTHM20003,11,3
CSCS20014,0,4
CSCS20014,1,4
CSCS20014,2,4
CSCS20014,3,4
CSCS20014,4,5
CSCS20014,5,5
CSCS20014,6,4
CSCS20014,7,4
CSCS20014,8,4
CSCS20014,9,4
CSCS20014,10,3
CSCS20014,11,4
CSCS10015,0,3
CSCS10015,1,2
CSCS10015,2,1
CSCS10015,3,4
CSCS10015,4,5
CSCS10015,5,4
CSCS10015,6,4
CSCS10015,7,4
CSCS10015,8,4
CSCS10015,9,4
CSCS10015,10,3
CSCS10015,11,3
CSCS20031,0,3
CSCS20031,1,3
CSCS20031,2,4
CSCS20031,3,2
CSCS20031,4,3
CSCS20031,5,4
CSCS20031,6,4
CSCS20031,7,4
CSCS20031,8,3
CSCS20031,9,4
CSCS20031,10,3
CSCS20031,11,2
CTHM20004,0,5
CTHM20004,1,5
CTHM20004,2,5
CTHM20004,3,4
CTHM20004,4,5
CTHM20004,5,5
CTHM20004,6,5
CTHM20004,7,4
CTHM20004,8,5
CTHM20004,9,4
CTHM20004,10,4
CTHM20004,11,3
CSCS20015,0,4
CSCS20015,1,3
CSCS20015,2,2
CSCS20015,3,3
CSCS20015,4,2
CSCS20015,5,3
CSCS20015,6,4
CSCS20015,7,4
CSCS20015,8,4
CSCS20015,9,2
CSCS20015,10,3
CSCS20015,11,3
CTHM20005,0,4
CTHM20005,1,4
CTHM20005,2,4
CTHM20005,3,4
CTHM20005,4,4
CTHM20005,5,5
CTHM20005,6,5
CTHM20005,7,3
CTHM20005,8,5
CTHM20005,9,4
CTHM20005,10,4
CTHM20005,11,4
CSCS10016,0,5
CSCS10016,1,5
CSCS10016,2,5
CSCS10016,3,5
CSCS10016,4,5
CSCS10016,5,5
CSCS10016,6,4
CSCS10016,7,4
CSCS10016,8,5
CSCS10016,9,4
CSCS10016,10,3
CSCS10016,11,1
CSCS20016,0,5
CSCS20016,1,4
CSCS20016,2,5
CSCS20016,3,3
CSCS20016,4,4
CSCS20016,5,5
CSCS20016,6,5
CSCS20016,7,3
CSCS20016,8,4
CSCS20016,9,4
CSCS20016,10,3
CSCS20016,11,2
CTHM20006,0,5
CTHM20006,1,5
CTHM20006,2,5
CTHM20006,3,4
CTHM20006,4,5
CTHM20006,5,5
CTHM20006,6,4
CTHM20006,7,4
CTHM20006,8,5
CTHM20006,9,5
CTHM20006,10,5
CTHM20006,11,4
CSCS10017,0,3
CSCS10017,1,4
CSCS10017,2,4
CSCS10017,3,3
CSCS10017,4,3
CSCS10017,5,5
CSCS10017,6,4
CSCS10017,7,4
CSCS10017,8,5
CSCS10017,9,2
CSCS10017,10,3
CSCS10017,11,2
CSCS20017,0,4
CSCS20017,1,3
CSCS20017,2,3
CSCS20017,3,3
CSCS20017,4,4
CSCS20017,5,4
CSCS20017,6,4
CSCS20017,7,4
CSCS20017,8,4
CSCS20017,9,3
CSCS20017,10,4
CSCS20017,11,3
CSCS20032,0,3
CSCS20032,1,3
CSCS20032,2,4
CSCS20032,3,3
CSCS20032,4,4
CSCS20032,5,4
CSCS20032,6,4
CSCS20032,7,3
CSCS20032,8,4
CSCS20032,9,3
CSCS20032,10,3
CSCS20032,11,1
CTHM20007,0,4
CTHM20007,1,5
CTHM20007,2,5
CTHM20007,3,4
CTHM20007,4,5
CTHM20007,5,5
CTHM20007,6,5
CTHM20007,7,4
CTHM20007,8,4
CTHM20007,9,5
CTHM20007,10,4
CTHM20007,11,3
CSCS30012,0,3
CSCS30012,1,3
CSCS30012,2,4
CSCS30012,3,3
CSCS30012,4,4
CSCS30012,5,4
CSCS30012,6,5
CSCS30012,7,2
CSCS30012,8,4
CSCS30012,9,3
CSCS30012,10,4
CSCS30012,11,2
CSCS10018,0,4
CSCS10018,1,4
CSCS10018,2,4
CSCS10018,3,4
CSCS10018,4,4
CSCS10018,5,5
CSCS10018,6,5
CSCS10018,7,4
CSCS10018,8,5
CSCS10018,9,5
CSCS10018,10,3
CSCS10018,11,1
CTHM20008,0,4
CTHM20008,1,4
CTHM20008,2,4
CTHM20008,3,4
CTHM20008,4,4
CTHM20008,5,5
CTHM20008,6,5
CTHM20008,7,5
CTHM20008,8,5
CTHM20008,9,4
CTHM20008,10,4
CTHM20008,11,5
CSCS20033,0,4
CSCS20033,1,3
CSCS20033,2,4
CSCS20033,3,5
CSCS20033,4,5
CSCS20033,5,5
CSCS20033,6,5
CSCS20033,7,5
CSCS20033,8,4
CSCS20033,9,3
CSCS20033,10,3
CSCS20033,11,1
CSCS30013,0,3
CSCS30013,1,3
CSCS30013,2,3
CSCS30013,3,3
CSCS30013,4,3
CSCS30013,5,3
CSCS30013,6,3
CSCS30013,7,3
CSCS30013,8,3
CSCS30013,9,3
CSCS30013,10,3
CSCS30013,11,3
CTHM20009,0,4
CTHM20009,1,5
CTHM20009,2,4
CTHM20009,3,4
CTHM20009,4,4
CTHM20009,5,5
CTHM20009,6,5
CTHM20009,7,4
CTHM20009,8,4
CTHM20009,9,3
CTHM20009,10,3
CTHM20009,11,3
CSCS10019,0,5
CSCS10019,1,5
CSCS10019,2,4
CSCS10019,3,5
CSCS10019,4,5
CSCS10019,5,5
CSCS10019,6,5
CSCS10019,7,4
CSCS10019,8,4
CSCS10019,9,5
CSCS10019,10,5
CSCS10019,11,4
CSCS20034,0,4
CSCS20034,1,3
CSCS20034,2,4
CSCS20034,3,3
CSCS20034,4,4
CSCS20034,5,4
CSCS20034,6,2
CSCS20034,7,3
CSCS20034,8,3
CSCS20034,9,4
CSCS20034,10,2
CSCS20034,11,1
CSCS20018,0,3
CSCS20018,1,3
CSCS20018,2,4
CSCS20018,3,1
CSCS20018,4,4
CSCS20018,5,4
CSCS20018,6,3
CSCS20018,7,3
CSCS20018,8,4
CSCS20018,9,2
CSCS20018,10,3
CSCS20018,11,4
CSCS30014,0,3
CSCS30014,1,3
CSCS30014,2,3
CSCS30014,3,4
CSCS30014,4,4
CSCS30014,5,4
CSCS30014,6,4
CSCS30014,7,4
CSCS30014,8,3
CSCS30014,9,3
CSCS30014,10,4
CSCS30014,11,3
CSCS10020,0,3
CSCS10020,1,4
CSCS10020,2,4
CSCS10020,3,3
CSCS10020,4,5
CSCS10020,5,5
CSCS10020,6,5
CSCS10020,7,4
CSCS10020,8,4
CSCS10020,9,3
CSCS10020,10,3
CSCS10020,11,1
CTHM20010,0,4
CTHM20010,1,4
CTHM20010,2,3
CTHM20010,3,3
CTHM20010,4,4
CTHM20010,5,4
CTHM20010,6,4
CTHM20010,7,3
CTHM20010,8,4
CTHM20010,9,3
CTHM20010,10,3
CTHM20010,11,3
CSCS20019,0,3
CSCS20019,1,3
CSCS20019,2,3
CSCS20019,3,3
CSCS20019,4,3
CSCS20019,5,3
CSCS20019,6,3
CSCS20019,7,3
CSCS20019,8,3
CSCS20019,9,3
CSCS20019,10,3
CSCS20019,11,3
CSCS30015,0,4
CSCS30015,1,3
CSCS30015,2,3
CSCS30015,3,4
CSCS30015,4,4
CSCS30015,5,4
CSCS30015,6,4
CSCS30015,7,3
CSCS30015,8,3
CSCS30015,9,4
CSCS30015,10,4
CSCS30015,11,3
CSCS20020,0,5
CSCS20020,1,5
CSCS20020,2,5
CSCS20020,3,4
CSCS20020,4,5
CSCS20020,5,5
CSCS20020,6,5
CSCS20020,7,4
CSCS20020,8,5
CSCS20020,9,5
CSCS20020,10,3
CSCS20020,11,4
CSCS10021,0,3
CSCS10021,1,2
CSCS10021,2,4
CSCS10021,3,4
CSCS10021,4,3
CSCS10021,5,4
CSCS10021,6,5
CSCS10021,7,4
CSCS10021,8,5
CSCS10021,9,4
CSCS10021,10,4
CSCS10021,11,4
CTHM20011,0,4
CTHM20011,1,4
CTHM20011,2,5
CTHM20011,3,5
CTHM20011,4,4
CTHM20011,5,5
CTHM20011,6,5
CTHM20011,7,5
CTHM20011,8,4
CTHM20011,9,4
CTHM20011,10,4
CTHM20011,11,3
CSCS30016,0,4
CSCS30016,1,4
CSCS30016,2,4
CSCS30016,3,4
CSCS30016,4,4
CSCS30016,5,4
CSCS30016,6,4
CSCS30016,7,4
CSCS30016,8,4
CSCS30016,9,4
CSCS30016,10,4
CSCS30016,11,4
CSCS20035,0,4
CSCS20035,1,5
CSCS20035,2,5
CSCS20035,3,5
CSCS20035,4,5
CSCS20035,5,5
CSCS20035,6,4
CSCS20035,7,3
CSCS20035,8,4
CSCS20035,9,4
CSCS20035,10,3
CSCS20035,11,2
CTHM20012,0,4
CTHM20012,1,5
CTHM20012,2,5
CTHM20012,3,4
CTHM20012,4,3
CTHM20012,5,4
CTHM20012,6,5
CTHM20012,7,5
CTHM20012,8,5
CTHM20012,9,4
CTHM20012,10,4
CTHM20012,11,3
CTH20039,0,3
CTH20039,1,3
CTH20039,2,3
CTH20039,3,3
CTH20039,4,3
CTH20039,5,3
CTH20039,6,3
CTH20039,7,3
CTH20039,8,3
CTH20039,9,3
CTH20039,10,3
CTH20039,11,3
CTHM20013,0,4
CTHM20013,1,3
CTHM20013,2,3
CTHM20013,3,3
CTHM20013,4,4
CTHM20013,5,5
CTHM20013,6,5
CTHM20013,7,4
CTHM20013,8,5
CTHM20013,9,4
CTHM20013,10,3
CTHM20013,11,3
CSCS20036,0,4
CSCS20036,1,4
CSCS20036,2,4
CSCS20036,3,4
CSCS20036,4,4
CSCS20036,5,4
CSCS20036,6,4
CSCS20036,7,4
CSCS20036,8,4
CSCS20036,9,4
CSCS20036,10,2
CSCS20036,11,3
CSCS10022,0,4
CSCS10022,1,5
CSCS10022,2,4
CSCS10022,3,3
CSCS10022,4,4
CSCS10022,5,5
CSCS10022,6,5
CSCS10022,7,2
CSCS10022,8,5
CSCS10022,9,3
CSCS10022,10,4
CSCS10022,11,1
CSCS30017,0,4
CSCS30017,1,4
CSCS30017,2,4
CSCS30017,3,3
CSCS30017,4,4
CSCS30017,5,5
CSCS30017,6,5
CSCS30017,7,4
CSCS30017,8,5
CSCS30017,9,5
CSCS30017,10,3
CSCS30017,11,4
CSCS20040,0,3
CSCS20040,1,3
CSCS20040,2,2
CSCS20040,3,3
CSCS20040,4,2
CSCS20040,5,3
CSCS20040,6,3
CSCS20040,7,3
CSCS20040,8,4
CSCS20040,9,3
CSCS20040,10,1
CSCS20040,11,3
CSCS10023,0,5
CSCS10023,1,5
CSCS10023,2,5
CSCS10023,3,5
CSCS10023,4,5
CSCS10023,5,5
CSCS10023,6,5
CSCS10023,7,3
CSCS10023,8,4
CSCS10023,9,4
CSCS10023,10,2
CSCS10023,11,1
CSCS20037,0,5
CSCS20037,1,5
CSCS20037,2,5
CSCS20037,3,4
CSCS20037,4,5
CSCS20037,5,5
CSCS20037,6,5
CSCS20037,7,4
CSCS20037,8,5
CSCS20037,9,4
CSCS20037,10,2
CSCS20037,11,1
CSCS30018,0,4
CSCS30018,1,3
CSCS30018,2,4
CSCS30018,3,4
CSCS30018,4,4
CSCS30018,5,3
CSCS30018,6,4
CSCS30018,7,3
CSCS30018,8,4
CSCS30018,9,3
CSCS30018,10,2
